date,matchup,team,starter,strikeouts
2026-08-04,Los Angeles Angels @ Baltimore Orioles,Los Angeles Angels,Grayson Rodriguez,6
2026-08-04,Los Angeles Angels @ Baltimore Orioles,Baltimore Orioles,Cade Povich,7
2026-08-04,New York Mets @ Cleveland Guardians,New York Mets,Sean Manaea,7
2026-08-04,New York Mets @ Cleveland Guardians,Cleveland Guardians,Joey Cantillo,5
2026-08-04,Athletics @ Cincinnati Reds,Athletics,J.T. Ginn,5
2026-08-04,Athletics @ Cincinnati Reds,Cincinnati Reds,Brady Singer,6
2026-08-04,Washington Nationals @ Philadelphia Phillies,Washington Nationals,Carson Palmquist,0
2026-08-04,Washington Nationals @ Philadelphia Phillies,Philadelphia Phillies,Jesús Luzardo,7
2026-08-04,St. Louis Cardinals @ New York Yankees,St. Louis Cardinals,Hunter Dobbins,4
2026-08-04,St. Louis Cardinals @ New York Yankees,New York Yankees,Ryan Weathers,6
2026-08-04,Chicago White Sox @ Boston Red Sox,Chicago White Sox,Davis Martin,1
2026-08-04,Chicago White Sox @ Boston Red Sox,Boston Red Sox,Patrick Sandoval,5
2026-08-04,Miami Marlins @ Atlanta Braves,Miami Marlins,Ryan Gusto,5
2026-08-04,Miami Marlins @ Atlanta Braves,Atlanta Braves,Grant Holmes,5
2026-08-04,Minnesota Twins @ Kansas City Royals,Minnesota Twins,Joe Ryan,3
2026-08-04,Minnesota Twins @ Kansas City Royals,Kansas City Royals,Randy Dobnak,1
2026-08-04,Pittsburgh Pirates @ Milwaukee Brewers,Pittsburgh Pirates,Jared Jones,4
2026-08-04,Pittsburgh Pirates @ Milwaukee Brewers,Milwaukee Brewers,Logan Henderson,8
2026-08-04,Los Angeles Dodgers @ Chicago Cubs,Los Angeles Dodgers,Tarik Skubal,6
2026-08-04,Los Angeles Dodgers @ Chicago Cubs,Chicago Cubs,Javier Assad,3
2026-08-04,San Francisco Giants @ Texas Rangers,San Francisco Giants,Blade Tidwell,3
2026-08-04,San Francisco Giants @ Texas Rangers,Texas Rangers,MacKenzie Gore,4
2026-08-04,Toronto Blue Jays @ Houston Astros,Toronto Blue Jays,Trey Yesavage,0
2026-08-04,Toronto Blue Jays @ Houston Astros,Houston Astros,Hayden Wesneski,4
2026-08-04,Tampa Bay Rays @ Colorado Rockies,Tampa Bay Rays,Freddy Peralta,3
2026-08-04,Tampa Bay Rays @ Colorado Rockies,Colorado Rockies,Gabriel Hughes,7
2026-08-04,San Diego Padres @ Arizona Diamondbacks,San Diego Padres,Randy Vásquez,1
2026-08-04,San Diego Padres @ Arizona Diamondbacks,Arizona Diamondbacks,Eduardo Rodriguez,4
2026-08-04,Detroit Tigers @ Seattle Mariners,Detroit Tigers,Troy Melton,4
2026-08-04,Detroit Tigers @ Seattle Mariners,Seattle Mariners,Emerson Hancock,6
2026-08-06,Los Angeles Angels @ Baltimore Orioles,Los Angeles Angels,Ryan Johnson,1
2026-08-06,Los Angeles Angels @ Baltimore Orioles,Baltimore Orioles,Brandon Young,4
2026-08-06,Athletics @ Cincinnati Reds,Athletics,Mason Barnett,7
2026-08-06,Athletics @ Cincinnati Reds,Cincinnati Reds,Andrew Abbott,4
2026-08-06,New York Mets @ Cleveland Guardians,New York Mets,Nolan McLean,8
2026-08-06,New York Mets @ Cleveland Guardians,Cleveland Guardians,Foster Griffin,6
2026-08-06,Pittsburgh Pirates @ Milwaukee Brewers,Pittsburgh Pirates,Braxton Ashcraft,5
2026-08-06,Pittsburgh Pirates @ Milwaukee Brewers,Milwaukee Brewers,Dustin May,5
2026-08-06,Toronto Blue Jays @ Chicago Cubs,Toronto Blue Jays,Dylan Cease,10
2026-08-06,Toronto Blue Jays @ Chicago Cubs,Chicago Cubs,David Peterson,3
2026-08-06,Detroit Tigers @ Seattle Mariners,Detroit Tigers,Framber Valdez,5
2026-08-06,Detroit Tigers @ Seattle Mariners,Seattle Mariners,Bryce Miller,5
2026-08-06,Washington Nationals @ Philadelphia Phillies,Washington Nationals,Miles Mikolas,1
2026-08-06,Washington Nationals @ Philadelphia Phillies,Philadelphia Phillies,Cristopher Sánchez,6
2026-08-06,Chicago White Sox @ Boston Red Sox,Chicago White Sox,Luis Castillo,5
2026-08-06,Chicago White Sox @ Boston Red Sox,Boston Red Sox,Ranger Suarez,3
2026-08-06,Miami Marlins @ Atlanta Braves,Miami Marlins,Janson Junk,1
2026-08-06,Miami Marlins @ Atlanta Braves,Atlanta Braves,Martín Pérez,3
2026-08-06,Minnesota Twins @ Kansas City Royals,Minnesota Twins,Bailey Ober,0
2026-08-06,Minnesota Twins @ Kansas City Royals,Kansas City Royals,Michael Wacha,1
2026-08-06,San Diego Padres @ Arizona Diamondbacks,San Diego Padres,Walker Buehler,3
2026-08-06,San Diego Padres @ Arizona Diamondbacks,Arizona Diamondbacks,Kohl Drake,1
2026-08-07,New York Mets @ Pittsburgh Pirates,New York Mets,Zac Thornton,3
